epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.80304,1.88983,3.64766,1.8574,0.01783,0.87889,0.19188,0.11431,1.27846,3.23216,1.10864,0.000296114,0.000296114,0.000296114
2,13.9111,1.52722,2.40206,1.47296,0.39509,0.40258,0.33654,0.21062,1.31583,2.47096,1.21888,0.000596148,0.000596148,0.000596148
3,20.747,1.45381,2.08507,1.41615,0.36445,0.57876,0.41789,0.23639,1.36679,2.05937,1.31877,0.000893183,0.000893183,0.000893183
4,26.956,1.42579,1.9059,1.39167,0.43432,0.67962,0.47389,0.2832,1.37827,1.80267,1.34799,0.000895501,0.000895501,0.000895501
5,32.9616,1.42814,1.81089,1.4039,0.40819,0.66525,0.49494,0.29892,1.37392,1.89911,1.36254,0.000891002,0.000891002,0.000891002
6,38.4102,1.40479,1.78571,1.41629,0.48166,0.68638,0.58575,0.33985,1.37211,1.55935,1.4001,0.000886502,0.000886502,0.000886502
7,43.8627,1.39283,1.67057,1.41181,0.58808,0.77416,0.68083,0.40908,1.30395,1.36622,1.31129,0.000882003,0.000882003,0.000882003
8,49.3293,1.38211,1.61648,1.40412,0.59376,0.71974,0.70661,0.447,1.33716,1.44103,1.37486,0.000877503,0.000877503,0.000877503
9,54.704,1.3409,1.43241,1.3722,0.67341,0.73046,0.79477,0.45426,1.40809,1.28601,1.40146,0.000873004,0.000873004,0.000873004
10,60.7938,1.35594,1.40738,1.38264,0.85089,0.6958,0.85927,0.53591,1.30651,1.09067,1.32662,0.000868504,0.000868504,0.000868504
11,66.952,1.31495,1.30553,1.34702,0.82406,0.84186,0.91106,0.55666,1.36698,1.01888,1.35013,0.000864004,0.000864004,0.000864004
12,72.6883,1.32503,1.25721,1.336,0.85896,0.81847,0.9033,0.56692,1.32491,0.92943,1.35582,0.000859505,0.000859505,0.000859505
13,78.2728,1.29423,1.24268,1.33146,0.71448,0.78792,0.81172,0.51135,1.26821,1.2408,1.29823,0.000855005,0.000855005,0.000855005
14,83.9658,1.31461,1.23331,1.33539,0.87592,0.81383,0.92261,0.5809,1.293,0.91828,1.31429,0.000850506,0.000850506,0.000850506
15,89.6515,1.30101,1.15554,1.32593,0.92199,0.83405,0.93049,0.57267,1.34075,0.89333,1.3937,0.000846006,0.000846006,0.000846006
16,95.6129,1.2757,1.13111,1.32009,0.84241,0.84686,0.91553,0.56855,1.31067,0.91641,1.29687,0.000841507,0.000841507,0.000841507
17,101.725,1.25506,1.10495,1.29662,0.88694,0.8289,0.93875,0.60404,1.24786,0.83509,1.27462,0.000837007,0.000837007,0.000837007
18,108.463,1.27308,1.12626,1.30987,0.82711,0.81146,0.90818,0.54398,1.35015,0.95515,1.3614,0.000832508,0.000832508,0.000832508
19,115.286,1.25868,1.0806,1.29794,0.85883,0.87703,0.91555,0.56656,1.34208,0.8513,1.33889,0.000828008,0.000828008,0.000828008
20,121.702,1.2812,1.03153,1.28623,0.86516,0.86237,0.94278,0.59482,1.30147,0.82959,1.30549,0.000823509,0.000823509,0.000823509
21,128.161,1.26195,1.01548,1.29202,0.79696,0.82441,0.90617,0.57357,1.34433,0.91161,1.31192,0.000819009,0.000819009,0.000819009
22,134.372,1.23785,1.02181,1.27721,0.88544,0.85476,0.95686,0.60473,1.29404,0.80632,1.29772,0.000814509,0.000814509,0.000814509
23,140.712,1.26273,0.99241,1.29505,0.9057,0.88819,0.96079,0.62461,1.26655,0.74066,1.27674,0.00081001,0.00081001,0.00081001
24,146.912,1.22077,0.94606,1.26815,0.93684,0.90934,0.95357,0.61493,1.31364,0.74066,1.33105,0.00080551,0.00080551,0.00080551
25,153.41,1.21252,0.97214,1.26465,0.91339,0.85385,0.92739,0.59324,1.25726,0.7991,1.30865,0.000801011,0.000801011,0.000801011
26,159.425,1.21175,0.95025,1.26376,0.76481,0.90403,0.89307,0.56965,1.27051,0.91778,1.27838,0.000796511,0.000796511,0.000796511
27,165.568,1.23559,0.96522,1.29244,0.78665,0.81741,0.90564,0.56169,1.3024,0.95736,1.33522,0.000792012,0.000792012,0.000792012
28,172.074,1.22167,0.94322,1.28867,0.87338,0.89181,0.93808,0.58289,1.32498,0.81001,1.35495,0.000787512,0.000787512,0.000787512
29,177.533,1.20199,0.9336,1.28139,0.83338,0.84581,0.92515,0.5734,1.368,0.81461,1.37267,0.000783013,0.000783013,0.000783013
30,182.9,1.22855,0.94113,1.28821,0.90946,0.90362,0.95559,0.60061,1.325,0.74443,1.32367,0.000778513,0.000778513,0.000778513
31,188.962,1.22593,0.92912,1.28006,0.91917,0.89774,0.94651,0.57304,1.3836,0.77915,1.36343,0.000774013,0.000774013,0.000774013
32,196.257,1.19258,0.88652,1.25641,0.86253,0.89991,0.94615,0.58836,1.3658,0.76135,1.34741,0.000769514,0.000769514,0.000769514
33,202.531,1.21525,0.89699,1.27393,0.92761,0.92213,0.96879,0.62222,1.26605,0.70253,1.30368,0.000765014,0.000765014,0.000765014
34,208.563,1.16543,0.86022,1.24858,0.81389,0.87647,0.89131,0.51696,1.45298,0.96554,1.40776,0.000760515,0.000760515,0.000760515
35,215.038,1.17952,0.84542,1.2463,0.9115,0.88923,0.95464,0.62198,1.26448,0.69478,1.29187,0.000756015,0.000756015,0.000756015
36,221.485,1.16669,0.85243,1.2559,0.90332,0.91985,0.95169,0.58721,1.32813,0.68857,1.34366,0.000751516,0.000751516,0.000751516
37,228.257,1.18443,0.86781,1.24578,0.91847,0.91761,0.95555,0.63418,1.21284,0.66052,1.26217,0.000747016,0.000747016,0.000747016
